Age,Gender,1. Which device do you use the most during the day?  ,2. What is your average daily screen time (combining all devices e.g. 6.7)?  ,3. What is the longest you typically look at a screen WITHOUT taking a break?  ,4. At what distance do you usually hold/view your screen?,5. In what lighting condition do you mostly use your devices?  ,"6. Do you use ""Night Mode,"" ""Eye Comfort Shield,"" or ""Blue Light Filters""? ",7. Screen Position: Where is the top of your screen relative to your eyes?  ,8. Do your parents (father or mother) wear glasses for distance vision?  ,9. How many liters of water do you drink daily? (Hydration affects dry eyes)  ,10. Do you consciously try to blink often while using screens?  ,11. Do you currently wear spectacles (glasses) or contact lenses?  ,"12. How frequently do you experience symptoms like headache, dry eyes, or blurred vision after using devices?  "
41,Male,Smartphone,2,More than 2 hours,Far (> 50 cm / Desktop distance),Well-lit room (Natural or bright light),Sometimes,At eye level (Looking straight),"Yes, both parents",More than 2 Liters,No/ I don't pay attention,No,Frequently/Every Day
20,Male,Smartphone,4,30 to 60 mins,Far (> 50 cm / Desktop distance),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,No,Rarely
22,Male,Smartphone,5,More than 2 hours,Far (> 50 cm / Desktop distance),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),No,More than 2 Liters,Yes,No,Rarely
24,Male,Laptop/Desktop,12,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),"Yes, both parents",More than 2 Liters,Yes,Yes,Rarely
45,Male,Laptop/Desktop,2,Less than 30 mins,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, both parents",1 to 2 Liters,Yes,Yes,Sometimes
45,Female,Laptop/Desktop,3,More than 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, both parents",More than 2 Liters,No/ I don't pay attention,Yes,Frequently/Every Day
45,Female,Laptop/Desktop,1.2,More than 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",More than 2 Liters,Yes,Yes,Never
45,Female,Laptop/Desktop,2.8,More than 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,No,Never
45,Female,Laptop/Desktop,2,More than 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,No,Never
45,Female,Laptop/Desktop,2.7,More than 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",More than 2 Liters,Yes,Yes,Frequently/Every Day
45,Female,Laptop/Desktop,1.5,More than 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",More than 2 Liters,Yes,Yes,Frequently/Every Day
45,Female,Laptop/Desktop,3,Less than 30 mins,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,Yes,Frequently/Every Day
